path,split
3ULD.dill,train
6F4G.dill,train
4KR6.dill,train
4UFT.dill,val
4S2X.dill,train
7NDJ.dill,train
6N4O.dill,train
5I9H.dill,train
5NS4.dill,train
1ZC8.dill,train
3HJY.dill,train
1MJ1.dill,train
4M4O.dill,train
4J7L.dill,train
3SQW.dill,train
5V6X.dill,train
3HAY.dill,val
6GC5.dill,train
6N6C.dill,train
6SQQ.dill,train
1MJI.dill,train
5J2W.dill,train
2XDD.dill,train
4X4Q.dill,val
4Q9Q.dill,train
4K4S.dill,train
3NMA.dill,train
5Y7M.dill,train
4J39.dill,train
6W11.dill,train
4Z4I.dill,train
5O20.dill,train
6M6S.dill,train
6WYB.dill,train
1WRQ.dill,train
7MJX.dill,val
6DOM.dill,train
2PXQ.dill,train
6D1V.dill,train
4KR2.dill,train
5F8H.dill,train
4BPB.dill,train
2DEU.dill,train
6IS0.dill,train
7DOL.dill,train
5JBG.dill,train
6N6F.dill,train
2PO1.dill,train
5LTA.dill,train
4WTK.dill,train
4JVY.dill,train
6O7B.dill,train
3PEW.dill,val
4LQ3.dill,train
7KX9.dill,train
5L1Z.dill,train
3W3S.dill,train
5ZC9.dill,train
3HM9.dill,train
6DPA.dill,train
